关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
贷款支付数量,numberOfLoanPayments,发起时按合同要求偿还贷款的次数。对于按月还款的贷款，这是从合同首次还款日期到到期日期的月数。,The number of payments contractually required at origination to repay the loan. For monthly paying loans this is the number of months from the contractual first payment date to the maturity date.,RepaymentSpecification,Number
页数,numberOfPages,书中的页数。,The number of pages in the book.,Book,Integer
部分浴室的数量,numberOfPartialBathrooms,部分浴室的数量-住宿中半浴室和¼浴室的总数。这对应于RESO中的BathroomsPartial字段。,Number of partial bathrooms - The total number of half and ¼ bathrooms in an Accommodation. This corresponds to the BathroomsPartial field in RESO.,"Accommodation, FloorPlan",Number
玩家人数,numberOfPlayers,指出可以玩多少人（最小，最大或范围）。,"Indicate how many people can play this game (minimum, maximum, or range).","Game, VideoGameSeries",QuantitativeValue
先前所有者的数量,numberOfPreviousOwners,车辆拥有者的数量，包括当前的拥有者。典型单位代码：C62,"The number of owners of the vehicle, including the current one.Typical unit code(s): C62",Vehicle,"Number, QuantitativeValue"
房间的数量,numberOfRooms,住宿或住宿业务的房间数（不包括浴室和壁橱）。典型的单位代码：ROM用于房间，C62用于无房间。房间的类型可以放在QuantitativeValue的unitText属性中。,The number of rooms (excluding bathrooms and closets) of the accommodation or lodging business.Typical unit code(s): ROM for room or C62 for no unit. The type of room can be put in the unitText property of the QuantitativeValue.,"Accommodation, Apartment, FloorPlan, House, LodgingBusiness, SingleFamilyResidence, Suite","Number, QuantitativeValue"
季节数,numberOfSeasons,该系列的季节数。,The number of seasons in this series.,"RadioSeries, TVSeries, VideoGameSeries",Integer
编号位置,numberedPosition,与组织中的角色相关的数字，例如运动员球衣上的数字。,"A number associated with a role in an organization, for example, the number on an athlete's jersey.",OrganizationRole,Number
营养,nutrition,有关食谱或菜单项的营养信息。,Nutrition information about the recipe or menu item.,"MenuItem, Recipe",NutritionInformation
目的,object,对其执行操作的对象，其状态保持不变或已更改。也称为患者，受影响者或经历者（更改其状态）或主题（不更改）的语义角色。例如约翰读了一本书。,"The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). e.g. John read a book.",Action,Thing
观察日期,observationDate,观察的观察日期。,The observationDate of an Observation.,Observation,DateTime
观察节点,observedNode,观察值的被观察节点，通常是统计人口。,"The observedNode of an Observation, often a StatisticalPopulation.",Observation,StatisticalPopulation
占用,occupancy,可容纳的总人数（包括婴儿等）。对于个人住宿，这不一定是法定最高限额，而是根据合同协议定义允许的使用范围（例如，单人使用的双人间）典型单位代码：C62,"The allowed total occupancy for the accommodation in persons (including infants etc). For individual accommodations, this is not necessarily the legal maximum but defines the permitted usage as per the contractual agreement (e.g. a double room used by a single person).Typical unit code(s): C62 for person","Apartment, HotelRoom, SingleFamilyResidence, Suite",QuantitativeValue
职业位置,occupationLocation,此职业说明适合的地区/国家。请注意，不同地区的教育要求和资格可能有所不同。,The region/country for which this occupational description is appropriate. Note that educational requirements and qualifications can vary between jurisdictions.,Occupation,AdministrativeArea
职业类别,occupationalCategory,描述工作的类别，最好使用分类法中的术语，例如BLS O * NET-SOC，ISCO-08或类似术语，并为每个适用的值重复属性。理想情况下，应识别分类法，并提供类别的文本标签和正式代码。注意：出于历史原因，可以假定以文字形式提供的任何文本标签和正式代码来自O * NET-SOC。,"A category describing the job, preferably using a term from a taxonomy such as BLS O*NET-SOC, ISCO-08 or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC.","EducationalOccupationalProgram, JobPosting, Occupation, WorkBasedProgram","CategoryCode, Text"
获得职业证书,occupationalCredentialAwarded,成功完成本课程或课程后所获得的资格，奖励，证书，文凭或其他职业证书的说明。,"A description of the qualification, award, certificate, diploma or other occupational credential awarded as a consequence of successful completion of this course or program.","Course, EducationalOccupationalProgram","EducationalOccupationalCredential, Text, URL"
报价计数,offerCount,产品的报价数量。,The number of offers for the product.,AggregateOffer,Integer
由...提供,offeredBy,指向要约的组织或个人的指针。,A pointer to the organization or person making the offer.,Offer,"Organization, Person"
要约,offers,提供此项的要约：例如，要出售产品，租借电影DVD，执行服务或赠送活动门票的要约。 使用businessFunction指示提供的交易类型，即出售，租赁等。此属性还可用于描述需求。 虽然按预期在许多常见类型上列出了此属性，但可以在其他类型中使用它。 在这种情况下，使用第二种类型（例如产品或产品的子类型）可以阐明要约的性质。,"An offer to provide this item: for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event. Use businessFunction to indicate the kind of transaction offered, i.e. sell, lease, etc. This property can also be used to describe a Demand. While this property is listed as expected on a number of common types, it can be used in others. In that case, using a second type, such as Product or a subtype of Product, can clarify the nature of the offer.","AggregateOffer, CreativeWork, EducationalOccupationalProgram, Event, MenuItem, Product, Service, Trip","Demand, Offer"
通过邮件提供处方,offersPrescriptionByMail,处方是否可以邮寄。,Whether prescriptions can be delivered by mail.,HealthPlanFormulary,Boolean
营业时间,openingHours,企业的一般营业时间。,"The general opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.Days are specified using the following two-letter combinations: Mo, Tu, We, Th, Fr, Sa, Su.Times are specified using 24:00 time. For example, 3pm is specified as 15:00. Here is an example: &lt;time itemprop=""openingHours"" datetime=&quot;Tu,Th 16:00-20:00&quot;&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;.If a business is open 7 days a week, then it can be specified as &lt;time itemprop=&quot;openingHours&quot; datetime=&quot;Mo-Su&quot;&gt;Monday through Sunday, all day&lt;/time&gt;.","CivicStructure, LocalBusiness",Text
